Month,Customer Name,Destination City,Total Load Volume (m3),Truck Type,Truck Volume M3,Total Transport Cost (NGN),Capacity Utilisation
JULY,C & C MAXIMUM SERVICES,YOBE,71.88,NG 30 Ton (76 m3),88.11,810517,0.82
JULY,TAJIJI & SONS GENERAL SERVICES,ZAMFARA,70.78,NG 30 Ton (76 m3),76.44,535665,0.93
JULY,AJELIELI AND SONS NIGERIA LIMITED,NASARAWA,73.02,NG 30 Ton (76 m3),82.3,468500,0.89
JULY,ALHAJI YUSUF ABDULLAHI & CO,KANO,83.39,NG 30 Ton (90 m3),86.83,650000,0.96
JULY,FARHAN DYNAMIC LINKS LIMITED,KADUNA,75.74,NG 30 Ton (76 m3),80.35,496610,0.94
JULY,GODSWILL INTERCONTINENTAL,AWKA IBOM,66.06,NG 30 Ton (76 m3),88.11,381997,0.75
JULY,KAMCHEG GLOBAL RESOURCES,RIVERS,106.54,NG Jumbo (106 m3),107.94,405000,0.99
JULY,FADANKAI NIGERIA LIMITED,ABUJA,74.22,NG 30 Ton (76 m3),88.18,421650,0.84
JULY,CHINEMEGO ENTERPRISES LTD,NIGER,70.02,NG 30 Ton (76 m3),86.4,434799,0.81
JULY,HASSAN ABDULLAHI & SONS,NIGER,100.05,NG Jumbo (106 m3),116.13,434799,0.86
JULY,OPTIMAL COLOUR LABOURATORY,ANAMBRA,89.72,NG 30 Ton (90 m3),92.49,440000,0.97
JULY,ANGELIC GAAP NIG. ENTERPRISES,PLATEAU,77.95,NG 30 Ton (90 m3),99.46,378000,0.78
JULY,ALH SANUSI SODANCI & SONS,SOKOTO,77.32,NG 30 Ton (76 m3),80.35,525350,0.96
JULY,KLINSWAYS GLOBAL ENTERPRISES,CROSS RIVER,65.17,NG 30 Ton (76 m3),75.99,449760,0.86
JULY,ALHAJI YUSUF ABDULLAHI & CO,KANO,87.91,NG 30 Ton (90 m3),92.49,680000,0.95
JULY,MULTI RELIANCE NIGERIA LIMITED,RIVERS,81.63,NG 30 Ton (90 m3),84.15,393800,0.97
JULY,MAYWEATHER,ABUJA,95.87,NG 30 Ton (76 m3),115.83,530032,0.83
JULY,BAGLO RESOURCES,ABIA,73.1,NG 30 Ton (76 m3),76.41,465624,0.96
JULY,X-QUISITE,RIVERS,65.32,NG 30 Ton (76 m3),67.34,396690,0.97
JULY,NAHEEM HEIGHTS LIMITED,PLATEAU,113.18,NG Jumbo (106 m3),116.68,634879,0.97
JULY,AMANA,ABUJA,63.29,NG 30 Ton (76 m3),69.31,487294,0.91
JULY,MULTI RELIANCE,RIVERS,68.84,NG 30 Ton (76 m3),78.65,393800,0.88
JULY,ABDULRAHMAN INUWA MAITEBUR VENTURES,KANO,106.2,NG Jumbo (110 m3),109,550000,0.97
JULY,MANY AGRO ALLIED CHEM COY NIG,JIGAWA,74.44,NG 30 Ton (76 m3),76.47,441650,0.97
JULY,KLINSWAYS GLOBAL ENTERPRISES,IMO,84.5,NG 30 Ton (76 m3),90.45,550000,0.93
JULY,HASSAN ABDULLAHI & SONS,NIGER,71.41,NG 30 Ton (76 m3),79.12,356000,0.9
JULY,POE GLOBAL RESOURCES,ENUGU,112.36,NG Jumbo (110 m3),115.83,441318,0.97
JULY,SARELICH,ENUGU,93.42,NG Jumbo (110 m3),96.25,483500,0.97
JULY,MUSA BABA,KANO,81.83,NG 30 Ton (90 m3),84.36,650000,0.97
JULY,OLIVE AND OLIVE,IMO,102.1,NG Jumbo (106 m3),112.6,415510,0.91
JULY,BLESSED BONA,KANO,74.14,NG 30 Ton (76 m3),76.44,535350,0.97
JULY,TUNRAY,BORNU,89.72,NG 30 Ton (90 m3),92.49,930000,0.97
JULY,RALSHIMA LIMITED,KATSINA,87.07,NG 30 Ton (90 m3),88.11,561165,0.99
JULY,MAYWEATHER INVESTMENT,ABUJA,73.71,NG 30 Ton (76 m3),75.99,441650,0.97
JULY,M O ILO TRADING CO,ENUGU,71.43,NG 30 Ton (76 m3),76.53,398495,0.93
JULY,ALH YUSHAU BAKO & SONS,ADAMAWA,96.5,NG Jumbo (106 m3),109.23,953000,0.88
JULY,MARTCON ENTERPRISES,RIVERS,70.82,NG 30 Ton (90 m3),73.01,467500,0.97
JULY,CHINEMEGO ENTERPRISES LTD,NIGER,71.23,NG 30 Ton (67 m3),91.16,447581,0.78
